nm, A
800.000000, 0.055203
799.000000, 0.055525
798.000000, 0.055252
797.000000, 0.055364
796.000000, 0.055572
795.000000, 0.055399
794.000000, 0.055687
793.000000, 0.055669
792.000000, 0.055894
791.000000, 0.056098
790.000000, 0.056401
789.000000, 0.056472
788.000000, 0.056583
787.000000, 0.056643
786.000000, 0.057077
785.000000, 0.057251
784.000000, 0.057204
783.000000, 0.057336
782.000000, 0.057388
781.000000, 0.057582
780.000000, 0.057811
779.000000, 0.058134
778.000000, 0.058135
777.000000, 0.058285
776.000000, 0.058324
775.000000, 0.058360
774.000000, 0.058585
773.000000, 0.058840
772.000000, 0.058963
771.000000, 0.059006
770.000000, 0.059129
769.000000, 0.059316
768.000000, 0.059484
767.000000, 0.059758
766.000000, 0.059755
765.000000, 0.059750
764.000000, 0.059959
763.000000, 0.060050
762.000000, 0.060161
761.000000, 0.060444
760.000000, 0.060371
759.000000, 0.060428
758.000000, 0.060617
757.000000, 0.060693
756.000000, 0.060795
755.000000, 0.061138
754.000000, 0.061229
753.000000, 0.061107
752.000000, 0.061242
751.000000, 0.061357
750.000000, 0.061538
749.000000, 0.061829
748.000000, 0.061857
747.000000, 0.061842
746.000000, 0.061941
745.000000, 0.062065
744.000000, 0.062202
743.000000, 0.062438
742.000000, 0.062591
741.000000, 0.062537
740.000000, 0.062530
739.000000, 0.062527
738.000000, 0.062609
737.000000, 0.062533
736.000000, 0.062396
735.000000, 0.062064
734.000000, 0.061773
733.000000, 0.061539
732.000000, 0.061287
731.000000, 0.060888
730.000000, 0.060504
729.000000, 0.060250
728.000000, 0.059957
727.000000, 0.059688
726.000000, 0.059643
725.000000, 0.059666
724.000000, 0.059479
723.000000, 0.059177
722.000000, 0.059086
721.000000, 0.059003
720.000000, 0.059020
719.000000, 0.058999
718.000000, 0.058801
717.000000, 0.058734
716.000000, 0.058685
715.000000, 0.058653
714.000000, 0.058675
713.000000, 0.058684
712.000000, 0.058681
711.000000, 0.058688
710.000000, 0.058644
709.000000, 0.058692
708.000000, 0.058824
707.000000, 0.058908
706.000000, 0.058898
705.000000, 0.058945
704.000000, 0.059008
703.000000, 0.059061
702.000000, 0.059227
701.000000, 0.059401
700.000000, 0.059441
699.000000, 0.059485
698.000000, 0.059541
697.000000, 0.059612
696.000000, 0.059843
695.000000, 0.059981
694.000000, 0.059939
693.000000, 0.059974
692.000000, 0.060057
691.000000, 0.060224
690.000000, 0.060509
689.000000, 0.060761
688.000000, 0.060751
687.000000, 0.060843
686.000000, 0.061035
685.000000, 0.061094
684.000000, 0.061193
683.000000, 0.061290
682.000000, 0.061443
681.000000, 0.061716
680.000000, 0.061840
679.000000, 0.061866
678.000000, 0.061966
677.000000, 0.062077
676.000000, 0.062231
675.000000, 0.062466
674.000000, 0.062664
673.000000, 0.062741
672.000000, 0.062806
671.000000, 0.062981
670.000000, 0.063162
669.000000, 0.063407
668.000000, 0.063515
667.000000, 0.063547
666.000000, 0.063658
665.000000, 0.063847
664.000000, 0.064059
663.000000, 0.064263
662.000000, 0.064360
661.000000, 0.064378
660.000000, 0.064498
659.000000, 0.064641
658.000000, 0.064752
657.000000, 0.064878
656.000000, 0.065060
655.000000, 0.065058
654.000000, 0.065159
653.000000, 0.065292
652.000000, 0.065384
651.000000, 0.065646
650.000000, 0.065860
649.000000, 0.065831
648.000000, 0.065924
647.000000, 0.066011
646.000000, 0.066124
645.000000, 0.066424
644.000000, 0.066421
643.000000, 0.066469
642.000000, 0.066569
641.000000, 0.066674
640.000000, 0.066829
639.000000, 0.067076
638.000000, 0.067207
637.000000, 0.067113
636.000000, 0.067224
635.000000, 0.067333
634.000000, 0.067455
633.000000, 0.067699
632.000000, 0.067784
631.000000, 0.067775
630.000000, 0.067854
629.000000, 0.067918
628.000000, 0.068064
627.000000, 0.068283
626.000000, 0.068269
625.000000, 0.068322
624.000000, 0.068365
623.000000, 0.068480
622.000000, 0.068600
621.000000, 0.068892
620.000000, 0.068737
619.000000, 0.068806
618.000000, 0.068957
617.000000, 0.068942
616.000000, 0.069079
615.000000, 0.069413
614.000000, 0.069382
613.000000, 0.069322
612.000000, 0.069438
611.000000, 0.069510
610.000000, 0.069555
609.000000, 0.069848
608.000000, 0.069999
607.000000, 0.069715
606.000000, 0.069828
605.000000, 0.069934
604.000000, 0.070089
603.000000, 0.070328
602.000000, 0.070220
601.000000, 0.070095
600.000000, 0.070159
599.000000, 0.070205
598.000000, 0.070294
597.000000, 0.070511
596.000000, 0.070427
595.000000, 0.070350
594.000000, 0.070465
593.000000, 0.070533
592.000000, 0.070672
591.000000, 0.070695
590.000000, 0.070768
589.000000, 0.071022
588.000000, 0.070934
587.000000, 0.070986
586.000000, 0.071152
585.000000, 0.071454
584.000000, 0.071532
583.000000, 0.071353
582.000000, 0.071482
581.000000, 0.071535
580.000000, 0.071720
579.000000, 0.072009
578.000000, 0.072152
577.000000, 0.071933
576.000000, 0.072050
575.000000, 0.072186
574.000000, 0.072295
573.000000, 0.072597
572.000000, 0.072561
571.000000, 0.072514
570.000000, 0.072622
569.000000, 0.072710
568.000000, 0.072908
567.000000, 0.073148
566.000000, 0.073010
565.000000, 0.073074
564.000000, 0.073181
563.000000, 0.073203
562.000000, 0.073384
561.000000, 0.073262
560.000000, 0.073321
559.000000, 0.073558
558.000000, 0.073509
557.000000, 0.073465
556.000000, 0.073534
555.000000, 0.073687
554.000000, 0.073828
553.000000, 0.074057
552.000000, 0.074056
551.000000, 0.074051
550.000000, 0.074049
549.000000, 0.074143
548.000000, 0.074230
547.000000, 0.074357
546.000000, 0.074384
545.000000, 0.074435
544.000000, 0.074524
543.000000, 0.074535
542.000000, 0.074648
541.000000, 0.074689
540.000000, 0.074653
539.000000, 0.074726
538.000000, 0.074725
537.000000, 0.074781
536.000000, 0.074910
535.000000, 0.075017
534.000000, 0.074903
533.000000, 0.074874
532.000000, 0.074941
531.000000, 0.075006
530.000000, 0.075114
529.000000, 0.075168
528.000000, 0.075144
527.000000, 0.075144
526.000000, 0.075173
525.000000, 0.075233
524.000000, 0.075257
523.000000, 0.075436
522.000000, 0.075385
521.000000, 0.075313
520.000000, 0.075373
519.000000, 0.075335
518.000000, 0.075426
517.000000, 0.075612
516.000000, 0.075613
515.000000, 0.075517
514.000000, 0.075549
513.000000, 0.075636
512.000000, 0.075740
511.000000, 0.075709
510.000000, 0.075712
509.000000, 0.075751
508.000000, 0.075772
507.000000, 0.075817
506.000000, 0.075907
505.000000, 0.075964
504.000000, 0.075984
503.000000, 0.076054
502.000000, 0.076078
501.000000, 0.076156
500.000000, 0.076349
499.000000, 0.076533
498.000000, 0.076505
497.000000, 0.076532
496.000000, 0.076641
495.000000, 0.076781
494.000000, 0.076962
493.000000, 0.077117
492.000000, 0.077131
491.000000, 0.077260
490.000000, 0.077453
489.000000, 0.077668
488.000000, 0.078018
487.000000, 0.078307
486.000000, 0.078467
485.000000, 0.078612
484.000000, 0.078843
483.000000, 0.079198
482.000000, 0.079592
481.000000, 0.079855
480.000000, 0.079838
479.000000, 0.079782
478.000000, 0.079798
477.000000, 0.079821
476.000000, 0.080005
475.000000, 0.080113
474.000000, 0.080075
473.000000, 0.080098
472.000000, 0.080163
471.000000, 0.080309
470.000000, 0.080525
469.000000, 0.080634
468.000000, 0.080596
467.000000, 0.080634
466.000000, 0.080695
465.000000, 0.080884
464.000000, 0.081106
463.000000, 0.081311
462.000000, 0.081320
461.000000, 0.081333
460.000000, 0.081416
459.000000, 0.081579
458.000000, 0.081806
457.000000, 0.081873
456.000000, 0.081927
455.000000, 0.082024
454.000000, 0.082172
453.000000, 0.082294
452.000000, 0.082515
451.000000, 0.082663
450.000000, 0.082741
449.000000, 0.082899
448.000000, 0.083057
447.000000, 0.083244
446.000000, 0.083469
445.000000, 0.083589
444.000000, 0.083712
443.000000, 0.083862
442.000000, 0.084011
441.000000, 0.084230
440.000000, 0.084583
439.000000, 0.084787
438.000000, 0.084780
437.000000, 0.084890
436.000000, 0.085023
435.000000, 0.085325
434.000000, 0.085572
433.000000, 0.085671
432.000000, 0.085609
431.000000, 0.085847
430.000000, 0.086092
429.000000, 0.086253
428.000000, 0.086430
427.000000, 0.086710
426.000000, 0.086982
425.000000, 0.086974
424.000000, 0.087081
423.000000, 0.087223
422.000000, 0.087609
421.000000, 0.087686
420.000000, 0.087766
419.000000, 0.087958
418.000000, 0.088261
417.000000, 0.088524
416.000000, 0.088808
415.000000, 0.088955
414.000000, 0.089179
413.000000, 0.089406
412.000000, 0.089630
411.000000, 0.089836
410.000000, 0.090285
409.000000, 0.090639
408.000000, 0.090923
407.000000, 0.091373
406.000000, 0.091694
405.000000, 0.092098
404.000000, 0.092671
403.000000, 0.092832
402.000000, 0.093137
401.000000, 0.093496
400.000000, 0.093924
399.000000, 0.094267
398.000000, 0.094831
397.000000, 0.095200
396.000000, 0.095600
395.000000, 0.095849
394.000000, 0.096288
393.000000, 0.096574
392.000000, 0.097128
391.000000, 0.097258
390.000000, 0.097501
389.000000, 0.097774
388.000000, 0.098140
387.000000, 0.098507
386.000000, 0.098987
385.000000, 0.099092
384.000000, 0.099205
383.000000, 0.099371
382.000000, 0.099593
381.000000, 0.099835
380.000000, 0.100134
379.000000, 0.100067
378.000000, 0.098932
377.000000, 0.097740
376.000000, 0.098244
375.000000, 0.098626
374.000000, 0.098764
373.000000, 0.098976
372.000000, 0.099224
371.000000, 0.099580
370.000000, 0.099949
369.000000, 0.099783
368.000000, 0.100136
367.000000, 0.100372
366.000000, 0.100321
365.000000, 0.100352
364.000000, 0.100690
363.000000, 0.100940
362.000000, 0.101075
361.000000, 0.100828
360.000000, 0.100902
359.000000, 0.100858
358.000000, 0.101293
357.000000, 0.101293
356.000000, 0.101187
355.000000, 0.101262
354.000000, 0.101280
353.000000, 0.101298
352.000000, 0.101489
351.000000, 0.101507
350.000000, 0.101500
349.000000, 0.101677
348.000000, 0.101811
347.000000, 0.101785
346.000000, 0.102184
345.000000, 0.102289
344.000000, 0.102350
343.000000, 0.102385
342.000000, 0.102158
341.000000, 0.102480
340.000000, 0.102680
339.000000, 0.102696
338.000000, 0.102804
337.000000, 0.102690
336.000000, 0.102872
335.000000, 0.102972
334.000000, 0.103375
333.000000, 0.103364
332.000000, 0.103361
331.000000, 0.103719
330.000000, 0.103818
329.000000, 0.103991
328.000000, 0.104249
327.000000, 0.104348
326.000000, 0.104412
325.000000, 0.104528
324.000000, 0.104851
323.000000, 0.105005
322.000000, 0.105227
321.000000, 0.105145
320.000000, 0.105219
319.000000, 0.105389
318.000000, 0.106004
317.000000, 0.106865
316.000000, 0.106920
315.000000, 0.107266
314.000000, 0.107404
313.000000, 0.107590
312.000000, 0.107788
311.000000, 0.108003
310.000000, 0.108319
309.000000, 0.108688
308.000000, 0.108787
307.000000, 0.108817
306.000000, 0.109056
305.000000, 0.109338
304.000000, 0.109670
303.000000, 0.109952
302.000000, 0.110017
301.000000, 0.110171
300.000000, 0.110349
