nm, A
800.000000, 0.002913
799.000000, 0.002574
798.000000, 0.003106
797.000000, 0.002773
796.000000, 0.002679
795.000000, 0.002892
794.000000, 0.002555
793.000000, 0.002907
792.000000, 0.003034
791.000000, 0.002909
790.000000, 0.002735
789.000000, 0.002507
788.000000, 0.002645
787.000000, 0.002627
786.000000, 0.002742
785.000000, 0.002619
784.000000, 0.002802
783.000000, 0.002565
782.000000, 0.002556
781.000000, 0.002523
780.000000, 0.002772
779.000000, 0.002484
778.000000, 0.002721
777.000000, 0.002474
776.000000, 0.002523
775.000000, 0.002666
774.000000, 0.002763
773.000000, 0.002735
772.000000, 0.002750
771.000000, 0.002442
770.000000, 0.002690
769.000000, 0.002491
768.000000, 0.002507
767.000000, 0.002457
766.000000, 0.002599
765.000000, 0.002806
764.000000, 0.002537
763.000000, 0.002481
762.000000, 0.002664
761.000000, 0.002430
760.000000, 0.002531
759.000000, 0.002444
758.000000, 0.002659
757.000000, 0.002629
756.000000, 0.002857
755.000000, 0.002547
754.000000, 0.002414
753.000000, 0.002610
752.000000, 0.002624
751.000000, 0.002540
750.000000, 0.002746
749.000000, 0.002674
748.000000, 0.002647
747.000000, 0.002606
746.000000, 0.002487
745.000000, 0.002599
744.000000, 0.002758
743.000000, 0.002541
742.000000, 0.002474
741.000000, 0.002422
740.000000, 0.002580
739.000000, 0.002740
738.000000, 0.002771
737.000000, 0.002635
736.000000, 0.002516
735.000000, 0.002628
734.000000, 0.002691
733.000000, 0.002752
732.000000, 0.002811
731.000000, 0.002837
730.000000, 0.002876
729.000000, 0.002685
728.000000, 0.002727
727.000000, 0.002707
726.000000, 0.002673
725.000000, 0.002564
724.000000, 0.002702
723.000000, 0.002784
722.000000, 0.002747
721.000000, 0.002841
720.000000, 0.002902
719.000000, 0.002774
718.000000, 0.002836
717.000000, 0.002847
716.000000, 0.002794
715.000000, 0.002886
714.000000, 0.003035
713.000000, 0.003001
712.000000, 0.002865
711.000000, 0.002797
710.000000, 0.002901
709.000000, 0.002980
708.000000, 0.003045
707.000000, 0.003017
706.000000, 0.002963
705.000000, 0.002866
704.000000, 0.002878
703.000000, 0.003000
702.000000, 0.003023
701.000000, 0.002885
700.000000, 0.002861
699.000000, 0.002814
698.000000, 0.002921
697.000000, 0.003075
696.000000, 0.002964
695.000000, 0.002892
694.000000, 0.002998
693.000000, 0.002954
692.000000, 0.002924
691.000000, 0.003026
690.000000, 0.002971
689.000000, 0.002860
688.000000, 0.002942
687.000000, 0.003033
686.000000, 0.003012
685.000000, 0.002922
684.000000, 0.002852
683.000000, 0.002886
682.000000, 0.003006
681.000000, 0.002935
680.000000, 0.002939
679.000000, 0.002928
678.000000, 0.002892
677.000000, 0.002930
676.000000, 0.003024
675.000000, 0.003046
674.000000, 0.003004
673.000000, 0.002948
672.000000, 0.002898
671.000000, 0.002872
670.000000, 0.002979
669.000000, 0.002785
668.000000, 0.002783
667.000000, 0.002939
666.000000, 0.002963
665.000000, 0.002874
664.000000, 0.002972
663.000000, 0.002974
662.000000, 0.002951
661.000000, 0.002917
660.000000, 0.002874
659.000000, 0.002840
658.000000, 0.003070
657.000000, 0.003065
656.000000, 0.002976
655.000000, 0.002985
654.000000, 0.002917
653.000000, 0.002886
652.000000, 0.003006
651.000000, 0.002975
650.000000, 0.002846
649.000000, 0.002825
648.000000, 0.002812
647.000000, 0.002901
646.000000, 0.003091
645.000000, 0.002973
644.000000, 0.003026
643.000000, 0.002943
642.000000, 0.002873
641.000000, 0.002942
640.000000, 0.003082
639.000000, 0.002954
638.000000, 0.002907
637.000000, 0.003028
636.000000, 0.002900
635.000000, 0.002901
634.000000, 0.003092
633.000000, 0.002991
632.000000, 0.002957
631.000000, 0.002889
630.000000, 0.002903
629.000000, 0.002951
628.000000, 0.003066
627.000000, 0.002975
626.000000, 0.003045
