nm, A
800.000000, 0.000089
799.000000, -0.000130
798.000000, 0.000387
797.000000, 0.000104
796.000000, 0.000121
795.000000, 0.000347
794.000000, 0.000006
793.000000, 0.000023
792.000000, 0.000340
791.000000, 0.000260
790.000000, 0.000068
789.000000, -0.000169
788.000000, -0.000036
787.000000, 0.000100
786.000000, 0.000128
785.000000, -0.000109
784.000000, 0.000046
783.000000, 0.000065
782.000000, -0.000092
781.000000, 0.000124
780.000000, 0.000052
779.000000, -0.000208
778.000000, 0.000073
777.000000, -0.000035
776.000000, -0.000017
775.000000, 0.000221
774.000000, 0.000244
773.000000, 0.000134
772.000000, 0.000071
771.000000, 0.000046
770.000000, -0.000036
769.000000, -0.000013
768.000000, 0.000152
767.000000, -0.000123
766.000000, 0.000053
765.000000, -0.000045
764.000000, -0.000043
763.000000, 0.000057
762.000000, 0.000159
761.000000, -0.000083
760.000000, 0.000037
759.000000, 0.000031
758.000000, 0.000019
757.000000, 0.000055
756.000000, 0.000233
755.000000, 0.000050
754.000000, 0.000064
753.000000, 0.000079
752.000000, -0.000055
751.000000, -0.000012
750.000000, 0.000054
749.000000, -0.000129
748.000000, -0.000002
747.000000, 0.000111
746.000000, 0.000006
745.000000, -0.000003
744.000000, 0.000199
743.000000, 0.000096
742.000000, -0.000129
741.000000, -0.000251
740.000000, -0.000090
739.000000, 0.000008
738.000000, 0.000006
737.000000, 0.000018
736.000000, -0.000119
735.000000, 0.000085
734.000000, 0.000074
733.000000, 0.000058
732.000000, 0.000062
731.000000, 0.000174
730.000000, 0.000160
729.000000, -0.000004
728.000000, 0.000041
727.000000, 0.000166
726.000000, 0.000196
725.000000, 0.000000
724.000000, 0.000032
723.000000, 0.000080
722.000000, 0.000078
721.000000, 0.000169
720.000000, 0.000201
719.000000, 0.000089
718.000000, 0.000155
717.000000, 0.000112
716.000000, 0.000105
715.000000, 0.000194
714.000000, 0.000223
713.000000, 0.000114
712.000000, 0.000085
711.000000, 0.000043
710.000000, 0.000105
709.000000, 0.000185
708.000000, 0.000221
707.000000, 0.000205
706.000000, 0.000178
705.000000, 0.000056
704.000000, 0.000052
703.000000, 0.000214
702.000000, 0.000230
701.000000, 0.000112
700.000000, 0.000032
699.000000, 0.000010
698.000000, 0.000066
697.000000, 0.000190
696.000000, 0.000183
695.000000, 0.000152
694.000000, 0.000170
693.000000, 0.000130
692.000000, 0.000159
691.000000, 0.000205
690.000000, 0.000097
689.000000, 0.000037
688.000000, 0.000178
687.000000, 0.000136
686.000000, 0.000107
685.000000, 0.000077
684.000000, 0.000046
683.000000, 0.000089
682.000000, 0.000147
681.000000, 0.000138
680.000000, 0.000144
679.000000, 0.000103
678.000000, 0.000053
677.000000, 0.000107
676.000000, 0.000220
675.000000, 0.000165
674.000000, 0.000105
673.000000, 0.000076
672.000000, 0.000065
671.000000, 0.000092
670.000000, 0.000162
669.000000, 0.000086
668.000000, 0.000077
667.000000, 0.000103
666.000000, 0.000050
665.000000, -0.000004
664.000000, 0.000087
663.000000, 0.000083
662.000000, 0.000048
661.000000, 0.000034
660.000000, 0.000011
659.000000, -0.000006
658.000000, 0.000176
657.000000, 0.000278
656.000000, 0.000101
655.000000, 0.000061
654.000000, -0.000003
653.000000, -0.000011
652.000000, 0.000183
651.000000, 0.000082
650.000000, -0.000067
649.000000, -0.000059
648.000000, -0.000068
647.000000, -0.000025
646.000000, 0.000172
645.000000, 0.000082
644.000000, 0.000146
643.000000, 0.000063
642.000000, 0.000005
641.000000, -0.000017
640.000000, 0.000145
639.000000, 0.000046
638.000000, 0.000023
637.000000, 0.000100
636.000000, -0.000025
635.000000, -0.000054
634.000000, 0.000147
633.000000, 0.000116
632.000000, 0.000094
631.000000, -0.000002
630.000000, -0.000110
629.000000, 0.000051
628.000000, 0.000194
627.000000, 0.000036
626.000000, 0.000165
625.000000, 0.000063
624.000000, 0.000068
623.000000, 0.000072
622.000000, 0.000206
621.000000, 0.000038
620.000000, 0.000313
619.000000, 0.000134
618.000000, -0.000033
617.000000, 0.000041
616.000000, 0.000220
615.000000, 0.000048
614.000000, 0.000152
613.000000, 0.000062
612.000000, -0.000058
611.000000, 0.000010
610.000000, 0.000359
609.000000, 0.000065
608.000000, -0.000036
607.000000, 0.000151
606.000000, 0.000082
605.000000, 0.000041
604.000000, 0.000323
603.000000, -0.000099
602.000000, 0.000185
601.000000, 0.000221
600.000000, 0.000236
599.000000, 0.000244
598.000000, 0.000518
597.000000, 0.000311
596.000000, 0.000428
595.000000, 0.000383
594.000000, 0.000313
593.000000, 0.000407
592.000000, 0.000717
591.000000, 0.000751
590.000000, 0.000672
589.000000, 0.000655
588.000000, 0.000734
587.000000, 0.000802
586.000000, 0.001127
585.000000, 0.001054
584.000000, 0.001128
583.000000, 0.001281
582.000000, 0.001339
581.000000, 0.001605
580.000000, 0.001838
579.000000, 0.001880
578.000000, 0.001915
577.000000, 0.002216
576.000000, 0.002410
575.000000, 0.002619
574.000000, 0.003110
573.000000, 0.003199
572.000000, 0.003528
571.000000, 0.003659
570.000000, 0.003997
569.000000, 0.004399
568.000000, 0.004817
567.000000, 0.005063
566.000000, 0.005593
565.000000, 0.005675
564.000000, 0.006054
563.000000, 0.006551
562.000000, 0.007101
561.000000, 0.007340
560.000000, 0.007782
559.000000, 0.008083
558.000000, 0.008651
557.000000, 0.009218
556.000000, 0.009745
555.000000, 0.010159
554.000000, 0.010689
553.000000, 0.010954
552.000000, 0.011635
551.000000, 0.012275
550.000000, 0.012763
549.000000, 0.013371
548.000000, 0.014082
547.000000, 0.014646
546.000000, 0.015137
545.000000, 0.015606
544.000000, 0.016167
543.000000, 0.016841
542.000000, 0.017447
541.000000, 0.018222
540.000000, 0.018787
539.000000, 0.019376
538.000000, 0.020010
537.000000, 0.020772
536.000000, 0.021415
535.000000, 0.022049
534.000000, 0.022861
533.000000, 0.023502
532.000000, 0.024193
531.000000, 0.024950
530.000000, 0.025714
529.000000, 0.026410
528.000000, 0.027160
527.000000, 0.027886
526.000000, 0.028700
525.000000, 0.029454
524.000000, 0.030360
523.000000, 0.031105
522.000000, 0.032032
521.000000, 0.032954
520.000000, 0.033818
519.000000, 0.034881
518.000000, 0.035985
517.000000, 0.036809
516.000000, 0.037823
515.000000, 0.038929
514.000000, 0.040051
513.000000, 0.041243
512.000000, 0.042504
511.000000, 0.043853
510.000000, 0.045137
509.000000, 0.046493
508.000000, 0.048073
507.000000, 0.049741
506.000000, 0.051468
505.000000, 0.053201
504.000000, 0.054997
503.000000, 0.056892
