nm, A
800.000000, 0.000083
799.000000, -0.000011
798.000000, 0.000367
797.000000, 0.000318
796.000000, 0.000279
795.000000, 0.000315
794.000000, 0.000042
793.000000, 0.000053
792.000000, 0.000233
791.000000, 0.000179
790.000000, 0.000109
789.000000, -0.000076
788.000000, 0.000058
787.000000, 0.000158
786.000000, 0.000266
785.000000, 0.000162
784.000000, 0.000114
783.000000, 0.000010
782.000000, 0.000171
781.000000, 0.000161
780.000000, 0.000094
779.000000, -0.000020
778.000000, 0.000162
777.000000, -0.000179
776.000000, 0.000021
775.000000, 0.000042
774.000000, 0.000260
773.000000, 0.000099
772.000000, 0.000089
771.000000, -0.000053
770.000000, -0.000089
769.000000, -0.000087
768.000000, 0.000091
767.000000, -0.000074
766.000000, -0.000038
765.000000, -0.000152
764.000000, -0.000189
763.000000, -0.000169
762.000000, 0.000046
761.000000, -0.000137
760.000000, -0.000207
759.000000, -0.000183
758.000000, -0.000158
757.000000, -0.000119
756.000000, 0.000169
755.000000, -0.000143
754.000000, -0.000252
753.000000, -0.000075
752.000000, -0.000125
751.000000, -0.000183
750.000000, -0.000223
749.000000, -0.000375
748.000000, -0.000302
747.000000, -0.000261
746.000000, -0.000264
745.000000, -0.000114
744.000000, -0.000010
743.000000, -0.000134
742.000000, -0.000340
741.000000, -0.000417
740.000000, -0.000287
739.000000, -0.000145
738.000000, -0.000093
737.000000, -0.000154
736.000000, -0.000274
735.000000, -0.000271
734.000000, -0.000209
733.000000, -0.000173
732.000000, -0.000118
731.000000, -0.000017
730.000000, -0.000072
729.000000, -0.000312
728.000000, -0.000323
727.000000, -0.000194
726.000000, -0.000200
725.000000, -0.000419
724.000000, -0.000409
723.000000, -0.000329
722.000000, -0.000257
721.000000, -0.000241
720.000000, -0.000209
719.000000, -0.000221
718.000000, -0.000163
717.000000, -0.000304
716.000000, -0.000274
715.000000, -0.000156
714.000000, -0.000105
713.000000, -0.000183
712.000000, -0.000290
711.000000, -0.000411
710.000000, -0.000250
709.000000, -0.000132
708.000000, -0.000164
707.000000, -0.000229
706.000000, -0.000282
705.000000, -0.000388
704.000000, -0.000415
703.000000, -0.000227
702.000000, -0.000142
701.000000, -0.000278
700.000000, -0.000355
699.000000, -0.000408
698.000000, -0.000362
697.000000, -0.000218
696.000000, -0.000248
695.000000, -0.000307
694.000000, -0.000292
693.000000, -0.000332
692.000000, -0.000307
691.000000, -0.000248
690.000000, -0.000294
689.000000, -0.000369
688.000000, -0.000288
687.000000, -0.000272
686.000000, -0.000295
685.000000, -0.000388
684.000000, -0.000426
683.000000, -0.000354
682.000000, -0.000323
681.000000, -0.000366
680.000000, -0.000312
679.000000, -0.000358
678.000000, -0.000426
677.000000, -0.000359
676.000000, -0.000211
675.000000, -0.000227
674.000000, -0.000345
673.000000, -0.000438
672.000000, -0.000398
671.000000, -0.000420
670.000000, -0.000365
669.000000, -0.000410
668.000000, -0.000375
667.000000, -0.000377
666.000000, -0.000394
665.000000, -0.000431
664.000000, -0.000371
663.000000, -0.000353
662.000000, -0.000329
661.000000, -0.000355
660.000000, -0.000414
659.000000, -0.000467
658.000000, -0.000319
657.000000, -0.000249
656.000000, -0.000400
655.000000, -0.000411
654.000000, -0.000454
653.000000, -0.000475
652.000000, -0.000309
651.000000, -0.000311
650.000000, -0.000400
649.000000, -0.000468
648.000000, -0.000566
647.000000, -0.000521
