nm, A
800.000000, 0.004072
799.000000, 0.003853
798.000000, 0.004220
797.000000, 0.004166
796.000000, 0.004030
795.000000, 0.004320
794.000000, 0.003949
793.000000, 0.004202
792.000000, 0.004393
791.000000, 0.004209
790.000000, 0.004116
789.000000, 0.003981
788.000000, 0.003973
787.000000, 0.004186
786.000000, 0.004133
785.000000, 0.003967
784.000000, 0.004129
783.000000, 0.003852
782.000000, 0.003863
781.000000, 0.003986
780.000000, 0.004092
779.000000, 0.003808
778.000000, 0.004078
777.000000, 0.003793
776.000000, 0.003847
775.000000, 0.004107
774.000000, 0.004293
773.000000, 0.004043
772.000000, 0.003982
771.000000, 0.003819
770.000000, 0.003962
769.000000, 0.003857
768.000000, 0.003913
767.000000, 0.003795
766.000000, 0.003869
765.000000, 0.003820
764.000000, 0.003766
763.000000, 0.003945
762.000000, 0.004087
761.000000, 0.003919
760.000000, 0.004022
759.000000, 0.003882
758.000000, 0.003886
757.000000, 0.003933
756.000000, 0.004097
755.000000, 0.003824
754.000000, 0.003767
753.000000, 0.003898
752.000000, 0.003869
751.000000, 0.003927
750.000000, 0.004085
749.000000, 0.003927
748.000000, 0.003842
747.000000, 0.003753
746.000000, 0.003858
745.000000, 0.003924
744.000000, 0.004064
743.000000, 0.003978
742.000000, 0.003794
741.000000, 0.003706
740.000000, 0.003797
739.000000, 0.003882
738.000000, 0.003910
737.000000, 0.003817
736.000000, 0.003689
735.000000, 0.003736
734.000000, 0.003847
733.000000, 0.003848
732.000000, 0.003831
731.000000, 0.003955
730.000000, 0.003980
729.000000, 0.003856
728.000000, 0.003871
727.000000, 0.003984
726.000000, 0.003976
725.000000, 0.003732
724.000000, 0.003699
723.000000, 0.003815
722.000000, 0.003876
721.000000, 0.003905
720.000000, 0.003850
719.000000, 0.003808
718.000000, 0.003953
717.000000, 0.003905
716.000000, 0.003890
715.000000, 0.003977
714.000000, 0.004089
713.000000, 0.004046
712.000000, 0.003961
711.000000, 0.003840
710.000000, 0.003922
709.000000, 0.004013
708.000000, 0.004038
707.000000, 0.003967
706.000000, 0.004001
705.000000, 0.003929
704.000000, 0.003858
703.000000, 0.003984
702.000000, 0.003961
701.000000, 0.003766
700.000000, 0.003846
699.000000, 0.003907
698.000000, 0.003898
697.000000, 0.004000
696.000000, 0.003987
695.000000, 0.003999
694.000000, 0.004029
693.000000, 0.003954
692.000000, 0.003970
691.000000, 0.004004
690.000000, 0.003875
689.000000, 0.003845
688.000000, 0.004052
687.000000, 0.003985
686.000000, 0.003866
685.000000, 0.003866
684.000000, 0.003853
683.000000, 0.003910
682.000000, 0.003952
681.000000, 0.003751
680.000000, 0.003864
679.000000, 0.004051
678.000000, 0.003981
677.000000, 0.003924
676.000000, 0.004060
675.000000, 0.004062
674.000000, 0.004000
673.000000, 0.003915
672.000000, 0.003961
671.000000, 0.003943
670.000000, 0.004055
669.000000, 0.004027
668.000000, 0.004018
667.000000, 0.004008
666.000000, 0.003936
665.000000, 0.003868
664.000000, 0.003883
663.000000, 0.003793
662.000000, 0.003849
661.000000, 0.003973
