nm, A
800.000000, 0.001169
799.000000, 0.000512
798.000000, 0.001282
797.000000, 0.000897
796.000000, 0.000946
795.000000, 0.000619
794.000000, 0.001091
793.000000, 0.000747
792.000000, 0.000821
791.000000, 0.000839
790.000000, 0.000425
789.000000, 0.000770
788.000000, 0.000783
787.000000, 0.000965
786.000000, 0.000679
785.000000, 0.000994
784.000000, 0.000855
783.000000, 0.000920
782.000000, 0.000677
781.000000, 0.000586
780.000000, 0.000639
779.000000, 0.000609
778.000000, 0.000806
777.000000, 0.000901
776.000000, 0.000817
775.000000, 0.000818
774.000000, 0.001135
773.000000, 0.000795
772.000000, 0.000558
771.000000, 0.000996
770.000000, 0.001332
769.000000, 0.001202
768.000000, 0.001389
767.000000, 0.001136
766.000000, 0.000572
765.000000, 0.001285
764.000000, 0.001191
763.000000, 0.001018
762.000000, 0.001103
761.000000, 0.000950
760.000000, 0.001225
759.000000, 0.001016
758.000000, 0.001036
757.000000, 0.001046
756.000000, 0.000940
755.000000, 0.000898
754.000000, 0.001021
753.000000, 0.000956
752.000000, 0.001094
751.000000, 0.001160
750.000000, 0.001157
749.000000, 0.001198
748.000000, 0.001219
747.000000, 0.001120
746.000000, 0.001115
745.000000, 0.001393
744.000000, 0.001232
743.000000, 0.001060
742.000000, 0.000996
741.000000, 0.001126
740.000000, 0.001251
739.000000, 0.001412
738.000000, 0.001369
737.000000, 0.001344
736.000000, 0.001419
735.000000, 0.001429
734.000000, 0.001228
733.000000, 0.001323
732.000000, 0.001322
731.000000, 0.001277
730.000000, 0.001431
729.000000, 0.001382
728.000000, 0.001354
727.000000, 0.001392
726.000000, 0.001493
725.000000, 0.001409
724.000000, 0.001460
723.000000, 0.001528
722.000000, 0.001380
721.000000, 0.001366
720.000000, 0.001313
719.000000, 0.001358
718.000000, 0.001476
717.000000, 0.001430
716.000000, 0.001461
715.000000, 0.001490
714.000000, 0.001379
713.000000, 0.001396
712.000000, 0.001498
711.000000, 0.001486
710.000000, 0.001386
709.000000, 0.001434
708.000000, 0.001447
707.000000, 0.001500
706.000000, 0.001484
705.000000, 0.001452
704.000000, 0.001534
703.000000, 0.001572
702.000000, 0.001549
701.000000, 0.001497
700.000000, 0.001457
699.000000, 0.001525
698.000000, 0.001552
697.000000, 0.001584
696.000000, 0.001590
695.000000, 0.001495
694.000000, 0.001530
693.000000, 0.001625
692.000000, 0.001644
691.000000, 0.001587
690.000000, 0.001561
689.000000, 0.001655
688.000000, 0.001757
687.000000, 0.001787
686.000000, 0.001759
685.000000, 0.001710
684.000000, 0.001625
683.000000, 0.001699
682.000000, 0.001887
681.000000, 0.001816
680.000000, 0.001764
679.000000, 0.001755
678.000000, 0.001735
677.000000, 0.001714
676.000000, 0.001753
675.000000, 0.001698
674.000000, 0.001706
673.000000, 0.001710
672.000000, 0.001678
671.000000, 0.001688
670.000000, 0.001871
669.000000, 0.001756
668.000000, 0.001615
667.000000, 0.001619
666.000000, 0.001603
665.000000, 0.001679
664.000000, 0.001786
663.000000, 0.001712
662.000000, 0.001742
661.000000, 0.001728
660.000000, 0.001656
659.000000, 0.001641
658.000000, 0.001778
657.000000, 0.001695
656.000000, 0.001613
655.000000, 0.001499
654.000000, 0.001569
653.000000, 0.001624
652.000000, 0.001762
651.000000, 0.001610
650.000000, 0.001597
649.000000, 0.001618
648.000000, 0.001604
647.000000, 0.001609
646.000000, 0.001768
645.000000, 0.001699
644.000000, 0.001791
643.000000, 0.001667
642.000000, 0.001547
641.000000, 0.001580
640.000000, 0.001674
639.000000, 0.001510
638.000000, 0.001538
637.000000, 0.001735
636.000000, 0.001668
635.000000, 0.001627
634.000000, 0.001642
633.000000, 0.001327
632.000000, 0.001575
631.000000, 0.001709
630.000000, 0.001537
629.000000, 0.001488
628.000000, 0.001719
627.000000, 0.001553
626.000000, 0.001445
625.000000, 0.001644
624.000000, 0.001537
623.000000, 0.001563
622.000000, 0.001799
621.000000, 0.001722
620.000000, 0.001654
619.000000, 0.001586
618.000000, 0.001654
617.000000, 0.001612
616.000000, 0.001875
615.000000, 0.001634
614.000000, 0.001621
613.000000, 0.001594
612.000000, 0.001590
611.000000, 0.001609
610.000000, 0.001816
609.000000, 0.001657
608.000000, 0.001772
607.000000, 0.001676
606.000000, 0.001752
605.000000, 0.001672
604.000000, 0.002038
603.000000, 0.001770
602.000000, 0.001825
601.000000, 0.001794
600.000000, 0.001697
599.000000, 0.001781
598.000000, 0.002111
597.000000, 0.001889
596.000000, 0.001995
595.000000, 0.002000
594.000000, 0.002032
593.000000, 0.002057
592.000000, 0.002418
591.000000, 0.002295
590.000000, 0.002296
589.000000, 0.002438
588.000000, 0.002466
587.000000, 0.002582
586.000000, 0.002623
585.000000, 0.003014
584.000000, 0.002957
583.000000, 0.003131
582.000000, 0.003081
581.000000, 0.003231
580.000000, 0.003463
579.000000, 0.003855
578.000000, 0.003743
577.000000, 0.004046
576.000000, 0.004221
575.000000, 0.004515
574.000000, 0.004682
573.000000, 0.005019
572.000000, 0.005002
571.000000, 0.005664
570.000000, 0.005724
569.000000, 0.006074
568.000000, 0.006406
567.000000, 0.006956
566.000000, 0.007251
565.000000, 0.007611
564.000000, 0.007999
563.000000, 0.008364
562.000000, 0.008760
561.000000, 0.009363
560.000000, 0.009887
559.000000, 0.010152
558.000000, 0.010939
557.000000, 0.011301
556.000000, 0.011747
555.000000, 0.012386
554.000000, 0.012950
553.000000, 0.013316
552.000000, 0.013896
551.000000, 0.014608
550.000000, 0.015092
549.000000, 0.015733
548.000000, 0.016490
547.000000, 0.016951
546.000000, 0.017537
545.000000, 0.018162
544.000000, 0.018797
543.000000, 0.019498
542.000000, 0.020234
541.000000, 0.020746
540.000000, 0.021464
539.000000, 0.022057
538.000000, 0.022660
537.000000, 0.023400
536.000000, 0.024326
535.000000, 0.024981
534.000000, 0.025736
533.000000, 0.026307
532.000000, 0.026984
531.000000, 0.027807
530.000000, 0.028753
529.000000, 0.029461
528.000000, 0.030335
527.000000, 0.030990
526.000000, 0.031807
525.000000, 0.032791
524.000000, 0.033769
523.000000, 0.034502
522.000000, 0.035491
521.000000, 0.036370
520.000000, 0.037258
519.000000, 0.038264
518.000000, 0.039248
517.000000, 0.040284
516.000000, 0.041522
515.000000, 0.042613
514.000000, 0.043864
513.000000, 0.044967
512.000000, 0.046278
511.000000, 0.047667
510.000000, 0.049151
509.000000, 0.050559
508.000000, 0.052151
507.000000, 0.053798
506.000000, 0.055534
505.000000, 0.057372
504.000000, 0.059266
503.000000, 0.061394
502.000000, 0.063654
501.000000, 0.065961
500.000000, 0.068448
499.000000, 0.071097
498.000000, 0.074080
497.000000, 0.077358
496.000000, 0.080666
495.000000, 0.084192
494.000000, 0.088165
493.000000, 0.092372
492.000000, 0.096791
491.000000, 0.101734
490.000000, 0.107049
489.000000, 0.112740
488.000000, 0.118781
487.000000, 0.125305
486.000000, 0.132555
485.000000, 0.140165
484.000000, 0.148151
483.000000, 0.156917
482.000000, 0.166202
481.000000, 0.176191
480.000000, 0.186909
479.000000, 0.198295
478.000000, 0.210356
477.000000, 0.223056
476.000000, 0.236010
475.000000, 0.249364
474.000000, 0.263189
473.000000, 0.277244
472.000000, 0.291437
471.000000, 0.305766
470.000000, 0.319925
469.000000, 0.333727
468.000000, 0.347530
467.000000, 0.360899
466.000000, 0.373597
465.000000, 0.385655
464.000000, 0.396992
463.000000, 0.407295
462.000000, 0.416697
461.000000, 0.425183
460.000000, 0.432797
459.000000, 0.439673
